Call,Response,Count,KB,Details
good morning,hello what can i help you with today,729,,
can you book a table at resto_seoul_moderate_vietnamese_4stars,great let me do the reservation,729,<KB> resto_seoul_moderate_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_4stars_address <R_location> seoul <R_number> eight <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,730,,
can you book a table at resto_tokyo_expensive_thai_5stars,great let me do the reservation,730,<KB> resto_tokyo_expensive_thai_5stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_5stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,731,,
may i have a table at resto_hanoi_expensive_vietnamese_1stars,great let me do the reservation,731,<KB> resto_hanoi_expensive_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_hanoi_expensive_vietnamese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,732,,
can you book a table at resto_tokyo_moderate_cantonese_4stars,great let me do the reservation,732,<KB> resto_tokyo_moderate_cantonese_4stars, <R_cuisine> cantonese <R_address> resto_tokyo_moderate_cantonese_4stars_address <R_location> tokyo <R_number> four <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,733,,
can you make a restaurant reservation at resto_beijing_moderate_korean_7stars,great let me do the reservation,733,<KB> resto_beijing_moderate_korean_7stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_7stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 7 
hi,hello what can i help you with today,734,,
can you make a restaurant reservation at resto_hanoi_cheap_korean_5stars,great let me do the reservation,734,<KB> resto_hanoi_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,735,,
may i have a table at resto_tokyo_expensive_cantonese_1stars,great let me do the reservation,735,<KB> resto_tokyo_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_1stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,736,,
may i have a table at resto_seoul_cheap_japanese_4stars,great let me do the reservation,736,<KB> resto_seoul_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_4stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,737,,
can you book a table at resto_hanoi_cheap_korean_2stars,great let me do the reservation,737,<KB> resto_hanoi_cheap_korean_2stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_2stars_address <R_location> hanoi <R_number> six <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,738,,
can you book a table at resto_hanoi_expensive_thai_7stars,great let me do the reservation,738,<KB> resto_hanoi_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,739,,
can you make a restaurant reservation at resto_tokyo_expensive_japanese_2stars,great let me do the reservation,739,<KB> resto_tokyo_expensive_japanese_2stars, <R_cuisine> japanese <R_address> resto_tokyo_expensive_japanese_2stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,740,,
can you book a table at resto_hanoi_moderate_vietnamese_6stars,great let me do the reservation,740,<KB> resto_hanoi_moderate_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_hanoi_moderate_vietnamese_6stars_address <R_location> hanoi <R_number> two <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,741,,
may i have a table at resto_hanoi_expensive_korean_3stars,great let me do the reservation,741,<KB> resto_hanoi_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_hanoi_expensive_korean_3stars_address <R_location> hanoi <R_number> two <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,742,,
may i have a table at resto_seoul_expensive_japanese_8stars,great let me do the reservation,742,<KB> resto_seoul_expensive_japanese_8stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_8stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,743,,
can you make a restaurant reservation at resto_hanoi_cheap_korean_5stars,great let me do the reservation,743,<KB> resto_hanoi_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,744,,
i'd like to book a table at resto_tokyo_cheap_cantonese_1stars,great let me do the reservation,744,<KB> resto_tokyo_cheap_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_cheap_cantonese_1stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 1 
good morning,hello what can i help you with today,745,,
may i have a table at resto_hanoi_expensive_thai_7stars,great let me do the reservation,745,<KB> resto_hanoi_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,746,,
may i have a table at resto_hanoi_expensive_japanese_1stars,great let me do the reservation,746,<KB> resto_hanoi_expensive_japanese_1stars, <R_cuisine> japanese <R_address> resto_hanoi_expensive_japanese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,747,,
can you make a restaurant reservation at resto_tokyo_moderate_vietnamese_8stars,great let me do the reservation,747,<KB> resto_tokyo_moderate_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_tokyo_moderate_vietnamese_8stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,748,,
may i have a table at resto_seoul_expensive_vietnamese_7stars,great let me do the reservation,748,<KB> resto_seoul_expensive_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_7stars_address <R_location> seoul <R_number> four <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,749,,
can you book a table at resto_bangkok_expensive_vietnamese_4stars,great let me do the reservation,749,<KB> resto_bangkok_expensive_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_bangkok_expensive_vietnamese_4stars_address <R_location> bangkok <R_number> four <R_price> expensive <R_rating> 4 
hello,hello what can i help you with today,750,,
can you book a table at resto_bangkok_expensive_vietnamese_4stars,great let me do the reservation,750,<KB> resto_bangkok_expensive_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_bangkok_expensive_vietnamese_4stars_address <R_location> bangkok <R_number> four <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,751,,
can you make a restaurant reservation at resto_seoul_cheap_japanese_4stars,great let me do the reservation,751,<KB> resto_seoul_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_4stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,752,,
can you make a restaurant reservation at resto_hanoi_cheap_korean_4stars,great let me do the reservation,752,<KB> resto_hanoi_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_4stars_address <R_location> hanoi <R_number> six <R_price> cheap <R_rating> 4 
good morning,hello what can i help you with today,753,,
can you make a restaurant reservation at resto_seoul_cheap_japanese_5stars,great let me do the reservation,753,<KB> resto_seoul_cheap_japanese_5stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_5stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 5 
hello,hello what can i help you with today,754,,
i'd like to book a table at resto_hanoi_expensive_cantonese_8stars,great let me do the reservation,754,<KB> resto_hanoi_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_hanoi_expensive_cantonese_8stars_address <R_location> hanoi <R_number> eight <R_price> expensive <R_rating> 8 
good morning,hello what can i help you with today,755,,
can you book a table at resto_tokyo_cheap_vietnamese_2stars,great let me do the reservation,755,<KB> resto_tokyo_cheap_vietnamese_2stars, <R_cuisine> vietnamese <R_address> resto_tokyo_cheap_vietnamese_2stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 2 
good morning,hello what can i help you with today,756,,
can you book a table at resto_hanoi_expensive_vietnamese_1stars,great let me do the reservation,756,<KB> resto_hanoi_expensive_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_hanoi_expensive_vietnamese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,757,,
can you book a table at resto_seoul_cheap_vietnamese_6stars,great let me do the reservation,757,<KB> resto_seoul_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_cheap_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,758,,
can you book a table at resto_seoul_expensive_thai_4stars,great let me do the reservation,758,<KB> resto_seoul_expensive_thai_4stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_4stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 4 
hello,hello what can i help you with today,759,,
can you book a table at resto_tokyo_expensive_cantonese_8stars,great let me do the reservation,759,<KB> resto_tokyo_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,760,,
may i have a table at resto_bangkok_expensive_cantonese_8stars,great let me do the reservation,760,<KB> resto_bangkok_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_8stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,761,,
may i have a table at resto_tokyo_expensive_cantonese_8stars,great let me do the reservation,761,<KB> resto_tokyo_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,762,,
can you make a restaurant reservation at resto_beijing_moderate_korean_3stars,great let me do the reservation,762,<KB> resto_beijing_moderate_korean_3stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_3stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 3 
good morning,hello what can i help you with today,763,,
i'd like to book a table at resto_beijing_cheap_korean_1stars,great let me do the reservation,763,<KB> resto_beijing_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_1stars_address <R_location> beijing <R_number> six <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,764,,
i'd like to book a table at resto_beijing_expensive_japanese_5stars,great let me do the reservation,764,<KB> resto_beijing_expensive_japanese_5stars, <R_cuisine> japanese <R_address> resto_beijing_expensive_japanese_5stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,765,,
can you book a table at resto_seoul_cheap_thai_8stars,great let me do the reservation,765,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,766,,
may i have a table at resto_tokyo_cheap_vietnamese_1stars,great let me do the reservation,766,<KB> resto_tokyo_cheap_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_tokyo_cheap_vietnamese_1stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,767,,
may i have a table at resto_hanoi_moderate_korean_6stars,great let me do the reservation,767,<KB> resto_hanoi_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_hanoi_moderate_korean_6stars_address <R_location> hanoi <R_number> eight <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,768,,
can you book a table at resto_hanoi_expensive_cantonese_6stars,great let me do the reservation,768,<KB> resto_hanoi_expensive_cantonese_6stars, <R_cuisine> cantonese <R_address> resto_hanoi_expensive_cantonese_6stars_address <R_location> hanoi <R_number> eight <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,769,,
i'd like to book a table at resto_beijing_moderate_korean_7stars,great let me do the reservation,769,<KB> resto_beijing_moderate_korean_7stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_7stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 7 
good morning,hello what can i help you with today,770,,
may i have a table at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,770,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,771,,
i'd like to book a table at resto_tokyo_cheap_cantonese_8stars,great let me do the reservation,771,<KB> resto_tokyo_cheap_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_cheap_cantonese_8stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 8 
hi,hello what can i help you with today,772,,
can you book a table at resto_tokyo_expensive_cantonese_1stars,great let me do the reservation,772,<KB> resto_tokyo_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_1stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,773,,
i'd like to book a table at resto_bangkok_moderate_vietnamese_4stars,great let me do the reservation,773,<KB> resto_bangkok_moderate_vietnamese_4stars, <R_cuisine> vietnamese <R_address> resto_bangkok_moderate_vietnamese_4stars_address <R_location> bangkok <R_number> four <R_price> moderate <R_rating> 4 
good morning,hello what can i help you with today,774,,
can you make a restaurant reservation at resto_beijing_expensive_cantonese_6stars,great let me do the reservation,774,<KB> resto_beijing_expensive_cantonese_6stars, <R_cuisine> cantonese <R_address> resto_beijing_expensive_cantonese_6stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,775,,
may i have a table at resto_tokyo_moderate_cantonese_8stars,great let me do the reservation,775,<KB> resto_tokyo_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_tokyo_moderate_cantonese_8stars_address <R_location> tokyo <R_number> four <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,776,,
i'd like to book a table at resto_seoul_moderate_vietnamese_6stars,great let me do the reservation,776,<KB> resto_seoul_moderate_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_6stars_address <R_location> seoul <R_number> eight <R_price> moderate <R_rating> 6 
good morning,hello what can i help you with today,777,,
can you make a restaurant reservation at resto_tokyo_cheap_thai_7stars,great let me do the reservation,777,<KB> resto_tokyo_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_7stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,778,,
may i have a table at resto_seoul_moderate_japanese_1stars,great let me do the reservation,778,<KB> resto_seoul_moderate_japanese_1stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_1stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,779,,
i'd like to book a table at resto_hanoi_expensive_japanese_1stars,great let me do the reservation,779,<KB> resto_hanoi_expensive_japanese_1stars, <R_cuisine> japanese <R_address> resto_hanoi_expensive_japanese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,780,,
i'd like to book a table at resto_bangkok_expensive_cantonese_1stars,great let me do the reservation,780,<KB> resto_bangkok_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_1stars_address <R_location> bangkok <R_number> four <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,781,,
i'd like to book a table at resto_seoul_expensive_thai_4stars,great let me do the reservation,781,<KB> resto_seoul_expensive_thai_4stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_4stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 4 
good morning,hello what can i help you with today,782,,
may i have a table at resto_bangkok_expensive_japanese_3stars,great let me do the reservation,782,<KB> resto_bangkok_expensive_japanese_3stars, <R_cuisine> japanese <R_address> resto_bangkok_expensive_japanese_3stars_address <R_location> bangkok <R_number> two <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,783,,
may i have a table at resto_tokyo_expensive_thai_3stars,great let me do the reservation,783,<KB> resto_tokyo_expensive_thai_3stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_3stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 3 
hello,hello what can i help you with today,784,,
can you make a restaurant reservation at resto_hanoi_expensive_thai_7stars,great let me do the reservation,784,<KB> resto_hanoi_expensive_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_7stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 7 
good morning,hello what can i help you with today,785,,
can you make a restaurant reservation at resto_beijing_expensive_vietnamese_6stars,great let me do the reservation,785,<KB> resto_beijing_expensive_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_beijing_expensive_vietnamese_6stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,786,,
can you make a restaurant reservation at resto_seoul_cheap_thai_8stars,great let me do the reservation,786,<KB> resto_seoul_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_8stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,787,,
may i have a table at resto_bangkok_moderate_cantonese_8stars,great let me do the reservation,787,<KB> resto_bangkok_moderate_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_8stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 8 
hi,hello what can i help you with today,788,,
can you book a table at resto_hanoi_expensive_thai_2stars,great let me do the reservation,788,<KB> resto_hanoi_expensive_thai_2stars, <R_cuisine> thai <R_address> resto_hanoi_expensive_thai_2stars_address <R_location> hanoi <R_number> eight <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,789,,
can you make a restaurant reservation at resto_seoul_cheap_korean_7stars,great let me do the reservation,789,<KB> resto_seoul_cheap_korean_7stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_7stars_address <R_location> seoul <R_number> two <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,790,,
can you make a restaurant reservation at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,790,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,791,,
i'd like to book a table at resto_bangkok_moderate_japanese_4stars,great let me do the reservation,791,<KB> resto_bangkok_moderate_japanese_4stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_4stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,792,,
can you book a table at resto_beijing_expensive_thai_1stars,great let me do the reservation,792,<KB> resto_beijing_expensive_thai_1stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_1stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,793,,
i'd like to book a table at resto_tokyo_moderate_thai_8stars,great let me do the reservation,793,<KB> resto_tokyo_moderate_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_moderate_thai_8stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 8 
hello,hello what can i help you with today,794,,
can you make a restaurant reservation at resto_seoul_expensive_vietnamese_6stars,great let me do the reservation,794,<KB> resto_seoul_expensive_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,795,,
can you make a restaurant reservation at resto_beijing_expensive_thai_6stars,great let me do the reservation,795,<KB> resto_beijing_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_6stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,796,,
can you make a restaurant reservation at resto_bangkok_expensive_cantonese_1stars,great let me do the reservation,796,<KB> resto_bangkok_expensive_cantonese_1stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_1stars_address <R_location> bangkok <R_number> four <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,797,,
can you book a table at resto_beijing_expensive_thai_6stars,great let me do the reservation,797,<KB> resto_beijing_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_6stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,798,,
can you book a table at resto_beijing_moderate_thai_4stars,great let me do the reservation,798,<KB> resto_beijing_moderate_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_moderate_thai_4stars_address <R_location> beijing <R_number> four <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,799,,
i'd like to book a table at resto_beijing_moderate_japanese_5stars,great let me do the reservation,799,<KB> resto_beijing_moderate_japanese_5stars, <R_cuisine> japanese <R_address> resto_beijing_moderate_japanese_5stars_address <R_location> beijing <R_number> two <R_price> moderate <R_rating> 5 
hi,hello what can i help you with today,800,,
can you book a table at resto_bangkok_cheap_vietnamese_6stars,great let me do the reservation,800,<KB> resto_bangkok_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_6stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 6 
good morning,hello what can i help you with today,801,,
can you make a restaurant reservation at resto_seoul_expensive_korean_5stars,great let me do the reservation,801,<KB> resto_seoul_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_seoul_expensive_korean_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,802,,
may i have a table at resto_hanoi_cheap_korean_5stars,great let me do the reservation,802,<KB> resto_hanoi_cheap_korean_5stars, <R_cuisine> korean <R_address> resto_hanoi_cheap_korean_5stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 5 
hi,hello what can i help you with today,803,,
may i have a table at resto_tokyo_expensive_japanese_6stars,great let me do the reservation,803,<KB> resto_tokyo_expensive_japanese_6stars, <R_cuisine> japanese <R_address> resto_tokyo_expensive_japanese_6stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,804,,
may i have a table at resto_beijing_moderate_korean_6stars,great let me do the reservation,804,<KB> resto_beijing_moderate_korean_6stars, <R_cuisine> korean <R_address> resto_beijing_moderate_korean_6stars_address <R_location> beijing <R_number> six <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,805,,
can you book a table at resto_beijing_cheap_thai_4stars,great let me do the reservation,805,<KB> resto_beijing_cheap_thai_4stars, <R_cuisine> thai <R_address> resto_beijing_cheap_thai_4stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,806,,
may i have a table at resto_hanoi_expensive_vietnamese_1stars,great let me do the reservation,806,<KB> resto_hanoi_expensive_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_hanoi_expensive_vietnamese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
good morning,hello what can i help you with today,807,,
i'd like to book a table at resto_tokyo_moderate_korean_8stars,great let me do the reservation,807,<KB> resto_tokyo_moderate_korean_8stars, <R_cuisine> korean <R_address> resto_tokyo_moderate_korean_8stars_address <R_location> tokyo <R_number> six <R_price> moderate <R_rating> 8 
good morning,hello what can i help you with today,808,,
can you make a restaurant reservation at resto_beijing_cheap_vietnamese_7stars,great let me do the reservation,808,<KB> resto_beijing_cheap_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_7stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,809,,
can you book a table at resto_beijing_cheap_cantonese_7stars,great let me do the reservation,809,<KB> resto_beijing_cheap_cantonese_7stars, <R_cuisine> cantonese <R_address> resto_beijing_cheap_cantonese_7stars_address <R_location> beijing <R_number> six <R_price> cheap <R_rating> 7 
hello,hello what can i help you with today,810,,
i'd like to book a table at resto_tokyo_expensive_thai_8stars,great let me do the reservation,810,<KB> resto_tokyo_expensive_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_8stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 8 
hi,hello what can i help you with today,811,,
can you make a restaurant reservation at resto_seoul_cheap_japanese_4stars,great let me do the reservation,811,<KB> resto_seoul_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_seoul_cheap_japanese_4stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,812,,
i'd like to book a table at resto_tokyo_expensive_thai_2stars,great let me do the reservation,812,<KB> resto_tokyo_expensive_thai_2stars, <R_cuisine> thai <R_address> resto_tokyo_expensive_thai_2stars_address <R_location> tokyo <R_number> two <R_price> expensive <R_rating> 2 
hello,hello what can i help you with today,813,,
can you book a table at resto_hanoi_cheap_thai_7stars,great let me do the reservation,813,<KB> resto_hanoi_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_hanoi_cheap_thai_7stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 7 
good morning,hello what can i help you with today,814,,
can you book a table at resto_beijing_cheap_korean_2stars,great let me do the reservation,814,<KB> resto_beijing_cheap_korean_2stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_2stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 2 
hello,hello what can i help you with today,815,,
can you book a table at resto_tokyo_cheap_korean_4stars,great let me do the reservation,815,<KB> resto_tokyo_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_4stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,816,,
i'd like to book a table at resto_seoul_moderate_japanese_2stars,great let me do the reservation,816,<KB> resto_seoul_moderate_japanese_2stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_2stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,817,,
can you book a table at resto_beijing_expensive_japanese_5stars,great let me do the reservation,817,<KB> resto_beijing_expensive_japanese_5stars, <R_cuisine> japanese <R_address> resto_beijing_expensive_japanese_5stars_address <R_location> beijing <R_number> four <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,818,,
can you book a table at resto_bangkok_cheap_korean_4stars,great let me do the reservation,818,<KB> resto_bangkok_cheap_korean_4stars, <R_cuisine> korean <R_address> resto_bangkok_cheap_korean_4stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 4 
hi,hello what can i help you with today,819,,
may i have a table at resto_seoul_expensive_japanese_7stars,great let me do the reservation,819,<KB> resto_seoul_expensive_japanese_7stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,820,,
can you book a table at resto_bangkok_cheap_vietnamese_3stars,great let me do the reservation,820,<KB> resto_bangkok_cheap_vietnamese_3stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_3stars_address <R_location> bangkok <R_number> four <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,821,,
can you book a table at resto_seoul_expensive_japanese_6stars,great let me do the reservation,821,<KB> resto_seoul_expensive_japanese_6stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
hi,hello what can i help you with today,822,,
